user_rank,user_id,user_hash,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,class
65,13934,567efe2a7fe0258f29d545f74e5774c3,-9.614744116589255e-05,0.0003794347732679,0.0002721719152614,-0.0002191667549356,-5.9313599548615925e-06,0.000304805576214,-6.496641656535349e-05,-0.000310486604707,-0.0005624988544531,0.000741577671573,14
66,4464,59adf5ebfe57c098bcbe2fb788c07f51,0.0002740980878372,-0.000173744298426,-5.018162251250147e-05,0.0001238054388006,-7.900513085848672e-05,-3.9369677061106345e-06,-6.454594761350626e-05,-4.39826560008933e-05,3.808891194007611e-05,0.0002883831766365,13
67,9911,2c221b90a77b7c701c3a21d7242af129,-0.0001310859745265,4.258606653033335e-05,-0.0001028617834275,0.0001100396267224,-3.0710912950690234e-05,-1.2252750934192248e-05,5.601128052821712e-05,4.135012077968481e-05,-9.173542449662878e-05,-3.172681635938889e-05,6
68,8910,12f21a53810a19a624939966e45ba767,-6.47435226589045e-05,-7.085208406678255e-05,-0.0001567569336811,-3.3308380846924255e-07,7.906811649319155e-05,-0.0002870415024473,1.3480613437666643e-05,-0.0001022514683407,0.0002249226706939,-0.0001229082127498,8
69,2988,ad6a1cf3f12144a092e2f2799eb06744,1.3864291704089125e-05,-5.3705206640281344e-05,2.8373859274627364e-05,6.656382163758317e-05,-5.154136979776268e-06,-0.0002033092528886,9.038850293846835e-05,0.0001029598153436,3.787200341787554e-05,-0.0001558755287802,11
70,10112,379eeb6aab6a7291c45b98903593be72,-0.0001148473388064,-3.4159936477013784e-05,0.0002693983494065,-0.0002032223655514,-3.490635633340182e-06,0.0001947891855514,-1.1583975421448523e-05,8.572196151578874e-05,-3.650078691244418e-05,-0.0002141973624246,15
71,1812,13e71c5bb14e1ac813914ff252b50238,-0.0001927209708326,3.65390451833421e-07,4.05069069459748e-05,-0.0001154612392423,6.394022573864749e-05,-4.884071266467518e-05,2.8531986031164804e-05,-0.0002063488201157,0.0002833704115084,6.419377412894338e-05,20
72,11415,36eabe925b8385c48e4ec3ccbf02b8f2,-0.0001633481675772,-2.169521256494846e-05,-0.0001659753043642,0.0001192809002634,-4.164551808555173e-05,-2.310258664141202e-05,7.799540187350233e-07,8.007418769832799e-06,-1.8907607715978035e-05,-2.4686901335945893e-05,20
73,11186,ce56931075d251157e9050bde14ce1c7,-0.0002159170869298,-7.411716288541157e-05,-0.0001151371986517,1.6982302195221725e-05,-5.2308422908786734e-05,0.0001088491770703,7.059866352989066e-06,6.594871077591703e-05,-9.932877708364432e-05,-4.7283806172512665e-05,20
74,14609,27eb1d23d7461c92a6d86d61578c4cc4,-3.229396371479199e-05,8.513468949310552e-05,4.465686741455563e-05,-3.735763333534545e-05,1.4601349173745955e-05,-4.266672505095852e-05,7.397032252013192e-06,-1.6233103750385506e-05,-0.0001522070460222,6.612731085336722e-05,2
75,1764,b38804ddef21178dd8a94dc897a2ea69,-0.0001739347827507,4.906327073057492e-05,-9.318153373860224e-05,-5.582306441002277e-05,2.669769576772288e-05,5.374689052773673e-06,-1.241815138147682e-05,-0.0001071633715529,1.5536820120417942e-05,7.423047987352166e-05,20
76,11707,f0a37936f147b1d38db5dda8d168fe75,-0.000399085308369,-2.342910436956552e-05,3.962805018826473e-05,-0.0001640246447491,-2.505067260445256e-05,0.0003556021884127,-5.579636075004168e-05,-0.0002229339960046,-6.671393629886404e-06,0.00024450089911,2
77,4969,9bb069b97a8d4fd0f3dbb704ec8fe843,-3.243162152039867e-05,-0.0001473171833947,-4.0674234703926816e-05,6.341493018983229e-05,-7.225337484929074e-05,-1.192262383934081e-06,9.657675869849647e-06,0.000106021356746,-0.0001498390664218,-5.435304024379041e-05,20
78,1201,f63cfc40bf823a5f59814e4dc327ddab,-0.0003083326707561,-0.0001485130402597,-0.0001351295589829,1.5373193636102825e-05,-1.8777940211930298e-05,6.966676739867846e-06,-6.299265418754364e-06,-7.539613473496388e-05,0.0001492399394833,-4.88753064883972e-05,20
79,4828,944a2ed3c50e063d4920697f7e2ccb01,-6.638448634415637e-05,-0.000101502650064,-1.905808038658543e-05,5.709758500371995e-05,-1.963034985495076e-05,-0.0001069635277887,1.4067306050344457e-05,8.904027796676822e-05,-0.0001022547689076,-1.7285307803776965e-05,20
80,7631,68848dca039d79d59d27324ee4a6c70d,-0.0001832345432359,-9.615694855463624e-05,0.0001005021806354,3.3353699776107195e-05,-3.208123661444413e-05,-0.0001223144464032,-1.6631324052637484e-05,-5.935890312004848e-05,3.01517385691748e-05,0.0001399385805643,20
81,14099,894ad851a592af491ea4b160effd6380,-0.0001468799613654,7.266796529042352e-06,-0.0001233870630395,5.72122054673605e-05,3.88855799057985e-06,-0.000171568409424,-1.1406025419463488e-05,-0.0001129976858777,-8.087722754708418e-05,0.0001315235419092,20
82,15086,685d92853e7634d4e987cdf2400ba03f,-7.856055560471171e-05,0.000402131329148,0.0003987878387078,-0.0006915701193349,0.0001512932332915,0.0009979424581462,-9.21734800429305e-05,-0.0003057549764133,-0.000449736791309,0.0006918547514583,14
83,6659,f894711add360e53d8a8e9416d34911b,1.4433302876507485e-05,6.222852418668793e-05,1.3391690272554852e-05,-5.651184418425024e-05,3.699649654714104e-05,-0.0001062013354468,-1.92158304962438e-05,-2.5444454792528787e-05,-0.0001155796153592,6.401485000463832e-05,3
84,8864,df0e586d06ff2d386e32159a4ed9e385,0.0005327483882183,-0.0005398130527416,-0.0001211799110574,0.0003136293958616,-0.0003345747223805,0.0004979696797197,-7.760782658015457e-05,-0.0001642887359124,2.355441673439245e-05,-3.538610424667427e-05,23
85,3727,cb63f1e074c5d8c03525694154b9b60f,0.0004356541759418,-0.0001367731439888,0.0010246289812031,-0.0006602666206547,7.306066632467207e-05,0.0003453001901713,-0.0001001429437549,0.0001943530972258,0.0001351510539567,-0.0006894610470587,9
86,9429,fb0de6d9aab24eb3a54d775434333177,0.0008787051065624,-0.0003556377836416,-0.0003476608650679,0.0001977936744824,-0.0001314675320482,0.0004275751981224,-0.0001596874474256,-0.0001591320542605,0.0002938925796028,0.0001012462801941,23
87,6587,ddd70c8b0d4eb51b1e3c7d9eeec19d8c,6.608824353315386e-05,-0.0002183701901231,-9.044998201832426e-05,3.0425308345734777e-05,-3.1547042090964e-05,-4.380671333237527e-05,-7.046192818123283e-06,8.700886032485865e-05,6.631660622251448e-05,-8.409179212650197e-05,20
88,12306,08f2effc947499e7e2c4099b12d013df,0.0002021847101774,1.1788214175621236e-05,-0.0001874670379508,3.8897735960333e-05,0.000147747979123,-0.0007443154822057,-4.620726964928452e-05,-0.0004129797661868,0.0003340956368639,0.0001955742615846,7
89,13490,9ea44c98722ec2d84d5d372d378da916,-3.4753209176440093e-06,4.723718008944892e-05,-0.0001006412963825,-0.0001320726795074,0.0001426757043819,-0.0002467212927039,-1.5298649942291608e-05,-0.0002971942679689,0.0002566923865532,-3.880281504255812e-05,8
90,15173,8ac3247c1b548f7eadb05aa927a10c06,5.1946640969896544e-05,-0.0001367321303556,-4.355173934620997e-05,2.6584556995269225e-05,-3.4568845056282605e-05,-1.501825718691427e-05,2.008821693815301e-05,9.387254235576472e-05,-8.049858343002611e-05,-9.859255396348776e-05,6
